fighter_id,sig_strikes_succ,takedowns_att,takedowns_succ,submiss_att,reversals,ctrl,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att
2798.0,59.0,1.0,1.0,0.0,0.0,40,1.0,234.0,85.0,207.0
2801.0,51.0,8.0,0.0,0.0,0.0,31,0.0,202.0,51.0,202.0
2806.0,90.0,9.0,3.0,3.0,2.0,574,2.0,223.0,160.0,147.0
2807.0,142.0,2.0,1.0,1.0,0.0,174,0.0,307.0,200.0,243.0
2808.0,213.0,25.0,3.0,1.0,0.0,674,0.0,570.0,262.0,498.0
2811.0,40.0,1.0,0.0,0.0,0.0,5,1.0,89.0,43.0,85.0
2812.0,36.0,0.0,0.0,0.0,0.0,0,1.0,56.0,43.0,49.0
2813.0,3.0,1.0,1.0,0.0,0.0,79,0.0,32.0,17.0,14.0
2814.0,475.0,63.0,30.0,10.0,0.0,2592,1.0,1210.0,686.0,945.0
2816.0,124.0,2.0,0.0,0.0,1.0,292,0.0,302.0,189.0,230.0
2817.0,400.0,29.0,4.0,2.0,0.0,934,3.0,1049.0,488.0,943.0
2822.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2826.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0
2829.0,31.0,0.0,0.0,0.0,0.0,3,0.0,64.0,41.0,54.0
2830.0,3.0,0.0,0.0,0.0,1.0,5,0.0,12.0,6.0,9.0
2831.0,221.0,56.0,27.0,3.0,1.0,2545,2.0,580.0,359.0,418.0
2834.0,385.0,20.0,11.0,3.0,4.0,1574,3.0,853.0,511.0,715.0
2835.0,3.0,1.0,0.0,0.0,0.0,6,0.0,15.0,11.0,7.0
2836.0,20.0,2.0,2.0,1.0,0.0,97,0.0,61.0,30.0,51.0
2837.0,118.0,3.0,1.0,0.0,0.0,101,0.0,373.0,175.0,312.0
2840.0,264.0,14.0,5.0,1.0,0.0,373,2.0,622.0,298.0,584.0
2842.0,39.0,4.0,2.0,1.0,0.0,657,1.0,150.0,120.0,61.0
2843.0,9.0,6.0,0.0,0.0,0.0,28,0.0,38.0,14.0,33.0
2845.0,29.0,6.0,1.0,0.0,0.0,171,0.0,108.0,61.0,75.0
2846.0,336.0,59.0,22.0,3.0,2.0,2079,1.0,1011.0,510.0,799.0
2847.0,59.0,0.0,0.0,0.0,0.0,154,0.0,149.0,75.0,133.0
2848.0,4.0,1.0,1.0,0.0,0.0,0,0.0,59.0,30.0,26.0
2849.0,28.0,4.0,0.0,0.0,0.0,162,0.0,88.0,40.0,73.0
2850.0,2.0,2.0,0.0,0.0,0.0,22,0.0,10.0,2.0,10.0
2852.0,1.0,0.0,0.0,0.0,0.0,0,0.0,10.0,7.0,4.0
2853.0,12.0,2.0,0.0,0.0,0.0,0,0.0,36.0,18.0,30.0
